Trávníček Jan,2025 ZS,FALSE,AAG,"Bezkontextové jazyky: Bezkontextové gramatiky, zásobníkové automaty a jejich varianty. Modely syntaktické analýzy bezkontextových jazyků.",A,"Bez upřesnění, napsal jsem většinu slovně, u ZA jsem zapomněl, že slova na zásobníku jsou konečná.",
Guth Ondřej,2024 LS,FALSE,AAG,"Regulární jazyky: Deterministické konečné automaty, nedeterministické konečné automaty, determinizace konečného automatu.",B,karel Zemánek,
Vagner Ladislav,2025 LS,FALSE,AAG,"Bezkontextové jazyky: Bezkontextové gramatiky, zásobníkové automaty a jejich varianty. Modely syntaktické analýzy bezkontextových jazyků. Zúžení: syntaktická zdola nahoru + předvést na příkladu (zadán jazyk)",,,
Miroslav Balík,2025 LS,FALSE,AAG,,B,Ptal se na to co je to jazyk a co je to regulární jazyk. Jaký operace lze provadet s regulárními jazyky,
Balík Miroslav,2025 LS,FALSE,AAG,Regulární jazyky: Deterministické a nedeterministické konečné automaty. Popište algortimus minimalizace deterministického konečného automatu. Vztah mezi konečným automatem a regulární gramatikou ,A,"Zkoušel Balík, tak jako si budoval povídání ""co je to jazyk"", ""jaká je vzaba mezi Q, P a E v automatech"", atp...byl úplně v chillu, dával otázky, na které by si měl člověk opravdu pamatovat věci i bez učení -> je vidět, že mi to chtěl dát",
Balík Miroslav,2025 LS,FALSE,AAG,"Regulární jazyky: Deterministické a nedeterministické konečné automaty. Determinizace konečného automatu. Minimalizace deterministického konečného automatu. Operace s konečnými automaty. Regulární gramatiky, regulární výrazy, regulární rovnice. Zaměření: definovat RJ, NKA, DKA, popsat algoritmus determinizace a jeho časovou a paměťovou složitost",A,"Dost common otázka, Balík budoval celé povídání i doplňkovými otázkami ""co je to formální jazyk"", ""jaký se vztah mezi Q, F, Σ?"" (množinově, zda je něco nějakou podmnožinou, jsou nějaké disjunktní, atp...), determinizaci jsem popsal tak trošku rukama a nohama, moc mi to v ten moment nešlo úplně ""nejformálněji"" popsat, aby to bylo kompletně srozumitelné, ale dal jsem tam i krátký příklad a byl s tím úplně spokojený; obě složitosti jsou pak 2^Q; celkově se Balík ptal na otázky, kde bylo vidět, že to tomu studentovi chce dát (ptal se opravdu na věci, co by člověk měl vědět i bez učení)",
Vagner Ladislav,2025 LS,FALSE,AAG,"Bezkontextové jazyky: Bezkontextové gramatiky, zásobníkové automaty a jejich varianty. Modely syntaktické analýzy bezkontextových jazyků. Zúžení: syntaktická analýza shora dolů + předvést na příkladu (zadán jazyk)",A,"Celá otázka měla před sebou ""Bezkontextové jazyky: Bezkontextové gramatiky, zásobníkové automaty a jejich varianty. Modely syntaktické analýzy bezkontextových jazyků."", ale bylo tam ""zaměřte se výhradně na syntaktickou analýzu shora dolů a předveďte ji na příkladu L = {něco^n něco^n}"". Člověk tedy musel udělat BG -> pro ni syntaktický analyzátor shora dolů -> následně naznačit jeho kroky.",
Vagner Ladislav,2025 LS,FALSE,AAG,"Zúžení na množinové operace s regulárními jazyky (sjednocení, průnik, doplněk). Dále navrhnout KA, který přijímá jazyk nad abecedou {a,b}, kde řetězce mají minimální délku 4 a lichý počet symbolů „a“.",A,aag,
Zemánek Karel,2024 LS,TRUE,ADU,"Identita uživatelů v unixových systémech (identita, práva administrátora, sudo, su, PAM moduly, role, privilegia, identita a přístupová práva, ACL, suid programy).",B,,
Scholtzová Jiřina ,2025 LS,FALSE,AG1,"Princip metody Rozděluj a Panuj - ukažte na příkladu MergeSort - dokažte správnost MergeSortu - ukažte další příklady, kde můžeme použít tento přístup ",B,"Popsal jsem MergeSort, ukázal jsem to na konkrétním příkladu, napsal jsem důkaz stylem: jednoprvkové pole je seřazené, a merge funguje správně => algoritmus funguje správně 
A uvedl jsem i Karacubu, kde jsem ani dokázal odvodit ten vzorec, plus nrp   jenom slovně a fibonaci, pak mě ještě doptala a zmínil jsem i Quickselect, jenom že existuje. Jedině na čem jsem zkolaboval bylo vysvětlení odvození složitosti u MergeSortu, zapomněl jsem tam dát sumu a  nedošlo mi to i po upozornění 😅 ",
Vágner Ladislav,2025 LS,FALSE,AG1,Dolní mez složitosti řazení v porovnávacím modelu. Řazení v lineárním čase.,C,"Ptal se mě jak udělám ten porovnávací strom. Nevěděl jsem. Chtěl slyšet že odspoda nahoru. Pak chtěl ať napíšu ten Stirlingův vzorec. To jsem taky nevěděl. V otázce sice bylo ""pouze"" složitost řazení, ale na druhou stranu papíru jsem ve zbylém čase napsal i ty další věci z otázky a asi to nějak pomohlo (to bylo dobře a tam se už na nic neptal). ",
Trávníček Jan,2025 ZS,FALSE,AG1,Rekurzivní rozklad problému na podproblémy metodou Rozděl-a-panuj. Rekurze vs iterace. Dynamické programování,B," Pri rekuzii som nenapísal nič o ukončujúcej podmienke a toto tam p.Trávničkovi chýbalo. Nedošlo mi najprv čo odo mňa chcel a tak mi dal za úlohu napísať funkciu faktoriálu, potom mi to už došlo xd.K rekurzii som napísal že môže spôsobiť Stack overflow. Na toto sa ma potom spýtal niekoľko doplňujúcich otázok: podľa čoho zistíme koľko rekurzivných volaní je OK zavolať (množstvo pamäte a velkosť aktivačného záznamu), čo je v aktivačnom zázname, a ako veľký v bajtoch asi je aktivačný záznam. Na tú poslednú som odpovedal hlúpo že „neviem, asi 4 bajty“ ale našťastie do nemalo veľký vplyv na hodnotenie xd. Aj keď neviem či tieto veci boli preberané v rámci AG1 a PA1.Pri skúške sme sa dostali k binárnym stromom, spýtal sa ma na hĺbku AVL stromu.K Dynamickému programovaniu som napísal základ a trochu som opísal Karacuba násobenie. Na túto tému sa ma nič nespýtal.",
Balík Miroslav,2025 LS,FALSE,AG1,"Časová a paměťová složitost algoritmů. Algoritmy vyhledávání (sekvenční, půlením intervalu), slučování a řazení (BubbleSort, SelectSort, InsertSort, MergeSort, QuickSort). Dolní mez složitosti řazení v porovnávacím modelu. Řazení v lineárním čase. Zaměření: Definujte asymptotickou složitost. Definujte vztahy Omikron, Omega, Theta. Vyberte si jeden z algoritmů BubbleSort, InsertSort, SelectSort a jeden z Merge sort, QuickSort, popište je a jejich asymptotickou časovou a prostorovou složistost.  ",,,
Vogel Josef,2025 LS,FALSE,AG1,"Základní pojmy teorie grafů. Grafové algoritmy: procházení grafu do šířky, určení souvislých komponent, topologické uspořádání, vzdálenosti v grafech, konstrukce minimální kostry a nejkratších cest v ohodnoceném grafu.
Zaměření: BFS, DFS",A,"Napsal jsem pseudokód obou algoritmů, asi ne úplně ideálně ale s tou hlavní myšlenkou, což mu stačilo. Chyběla mi tam mapa předchůdců, takže se ptal, jak jde BFS využít pro rekonstrukci nejkratší cesty",
Balík Miroslav,2025 LS,FALSE,AG1,"Časová a paměťová složitost algoritmů. Algoritmy vyhledávání (sekvenční, půlením intervalu), slučování a řazení (BubbleSort, SelectSort, InsertSort, MergeSort, QuickSort). Dolní mez složitosti řazení v porovnávacím modelu. Řazení v lineárním čase.",B,"Jednalo se o zaměření na výběr a popis jednoho z kvadratických a jednoho ze dvojice merge/quick. Poté také na notaci omikron, omega, theta, víc je potom napsáno ve zkušenostech",
Tvrdík Pavel,2024 LS,FALSE,AG1,"Binární haldy, binomiální haldy",B,,
Tomáš Valla,2025 LS,TRUE,AG2,"Vyšší souvislost grafů, vrcholová, hranová a jejich vztahy, Mengerova věta. Mosty, silně souvislé komponenty orientovaného grafu a jejich hledání. Toky v sítích, vztah velikosti toku a kapacity řezu, Fordův-Fulkersonův algoritmus. Párování, hledání maximálního párování v bipartitním grafu, Hallova věta a její důsledky. Zaměřte se na toky, související pojmy a hlavní větu o tocích, naznačte důkaz.",A,"Pojmy jsem zavedl bez problémů, v důkazu se trochu nelíbil druhý směr, kdy jsem dostatečně rigorózně neukázal, jak najdeme řez nasyceného toku. Nicméně Valla byl úplně v pohodě a když viděl, že se nechápeme, ale vim, jak důkaz funguje, tak mě pustil.",
Valla Tomáš,2025 LS,TRUE,AG2,"Eulerovský tah, charakterizace eulerovských grafů, minimální pokrytí tahy. Hamiltonovská kružnice, Chvátalův uzávěr, Bondyho-Chvátalova věta. Problém obchodní cestující, aproximační algoritmus. Zaměření: Hamiltonovská kružnice, Chvátalův uzávěr, Bondyho-Chvátalova věta včetně hrubého náznaku důkazu. ",A,,
Buček,2025 LS,TRUE,APS,Inštrukčný cyklus a zřetezená mikroarchitektura,B,"Dopýtaval sa čo sa deje v MEM a WB fáze, potom sa pýtal na CPI a kolko CPI ma zreťazená",
Buček Jiří ,2025 LS,TRUE,APS,"Paměťová hierarchie se skrytou pamětí (cache memory), principy lokality a fungování skryté paměti. Architektura přímé, částečně asociativní, plně asociativní skryté paměti.",A,"Popsal jsem cca 2 a půl stránky, napsal jsem vše, co jsem věděl. Podtrhl mi jen nějaké špatné vyjádření. Napsal jsem to relativně dost detailně, takže vlastně ani nebylo na co se dál ptát.",
