Zkoušející,Rok,Obor,Oborová,Předmět,Otázka,,
Balík Miroslav,LS 2019,BIT,Ne,AAG,,,
Balík Miroslav,LS 2022,BIT,Ne,AAG,Regulární jazyky. Deterministiké a nedeterministické konečné automaty. Popište algoritmus determinizace automatu.,,
Guth Ondřej,LS 2019,BIT,Ne,AAG,"Regulární jazyky: Deterministické a nedeterministické konečné automaty. Determinizace konečného automatu. Minimalizace deterministického konečného automatu. Operace s konečnými automaty. Regulární gramatiky, regulární výrazy, regulární rovnice.",,
Trávníček Jan,LS 2022,BIT,Ne,AAG,,,
Kolář Josef,LS 2015,ISM,Ne,AAG,Chomskeho hiearchie jazyku a gramatik. Pumping lemma ,,
Smotlacha Vladimír,LS 2016,ISM,Ne,AAG,Bezkontextové gramatiky: syntaktická analýza ,,
Tvrdík Pavel,ZS 2016,ISM,Ne,AAG,"Zásobníkové automaty, syntakticka analýza.",,
Žďárek Jan,LS 2016,ISM,Ne,AAG,"Regulární jazyky: DKA a NKA, determinizace NKA, minimalizace DKA ",,
Balík Miroslav,LS 2015,IT,Ne,AAG,,,
Tvrdík Pavel,ZS 2015,IT,Ne,AAG,Zásobníkové automaty. Definice. Operace pro konstrukci automatu zhora dolů a zdola nahoru ,,
Vagner Ladislav,LS 2015,IT,Ne,AAG,"Chomského hierarchie tříd formálních gramatik, jejich akceptory a omezující podmínky. ",,
Vagner Ladislav,LS 2015,IT,Ne,AAG,"Pumping lemma, idea, věta, dokázat ab^m c^n m>=n>=0 ",,
Valla Tomáš,ZS 2016,PI,Ne,AAG,"Definujte Turingův stroj (TS), deterministický a nedeterministický. Jaký je vztah mezi TS a kontextovými jazyky. Definujte lineárně omezený TS, definujte rekurzivní a rekurzivně spočetné jazyky. Definujte třídy problémů P, NP, NP-úplný, NP-těžký. Co je Halting problem. ",,
Jan Trávníček,LS 2022,SI,Ne,AAG,"Bezkontextové jazyky: Bezkontextové gramatiky, zásobníkové automaty a jejich varianty. Modely syntaktické analýzy bezkontextových jazyků. Príklad na syntaktickú analýzu metódou Top Down",,
Smotlacha Vladimír,LS 2015,SI,Ne,AAG,"Definice Turingova stroje a třídy problémů P, NP a NP-úplné ",,
Tvrdík Pavel,LS 2015,SI,Ne,AAG,Zásobníkové automaty a syntaktycká analýza bezkontextových jazyků. ,,
Guth Ondřej,LS 2019,TI,Ano,AAG,,,
Janoušek Jan,LS 2016,TI,Ano,AAG,Vlastnosti regulárních jazyků. Pumping lemma. ,,
Janoušek Jan,LS 2016,TI,Ne,AAG,"Deterministicke a nedeterministicke konecne automaty, determinizace, minimalizace DKA ",,
Janoušek Jan,LS 2021,TI,Ne,AAG,"Přehled Chomského hierarchie formálních jazyků a gramatik. Turingovy stroje. Třídy problémů P, NP, NP-těžký, NP-úplný.",,
Vagner Ladislav,LS 2016,TI,Ano,AAG,"Vlastnosti regulárních jazyků. Pumping lemma. Dokázat skrze Pumping lemma, že jazyk L = { a^p | p prvočíslo } není regulární. ",,
Balík Miroslav,LS 2015,WM,Ne,AAG,"Formální jazyk, regulární jazyk, vztah konečného a regulárního jazyka. Regulární výrazy, hodnota regulárního výrazu. Algoritmus na zjištění ekvivalence dvou regulárních výrazů, určit čas. a pam. složitost. ",,
Kolář,LS 2016,WM,Ne,AAG,"Regulární jazyky: Deterministické a nedeterministické konečné automaty. Determinizace konečného automatu. Operace s konečnými automaty. Regulární gramatiky, regulární výrazy, regulární rovnice. ",,
Guth Ondřej,LS 2020,WSI-SI,Ne,AAG,"Regulární jazyky: Deterministické a nedeterministické konečné automaty. Determinizace konečného automatu. Minimalizace deterministického konečného automatu. Operace s konečnými automaty. Regulární gramatiky, regulární výrazy, regulární rovnice.",,
Janoušek Jan,LS 2020,WSI-SI,Ne,AAG,"Bezkontextové jazyky: Bezkontextové gramatiky, zásobníkové automaty a jejich varianty. Modely syntaktické analýzy bezkontextových jazyků.",,
Smotlacha,LS 2021,WSI-SI,Ne,AAG,"Přehled Chomského hierarchie formálních jazyků a gramatik. Turingovy stroje. Třídy problémů P, NP, NP-těžký, NP-úplný.",,
Smotlacha Vladimír,LS 2021,WSI-SI,Ne,AAG,"Definice Turingova stroje a třídy problémů P, NP a NP-úplné ",,
"kNN - co, jak, proč, metriky, hyperpamatery a jejich volba",LS 2020,ZI,Ne,AAG,"Přehled Chomského hierarchie formálních jazyků a gramatik. Turingovy stroje. Třídy problémů P, NP, NP-těžký, NP-úplný.",,
Surynek Pavel,LS 2020,ZI,Ne,AAG,"Přehled Chomského hierarchie formálních jazyků a gramatik. Turingovy stroje. Třídy problémů P, NP, NP-těžký, NP-úplný. - Pouze třídy problémů",,
Vagner Ladislav,LS 2022,ZI,Ne,AAG,"Bezkontextové jazyky: Bezkontextové gramatiky, zásobníkové automaty a jejich varianty. Modely syntaktické analýzy bezkontextových jazyků. Zaměření na převod bezkontextové gramatiky na zásobníkový automat který je modelem syntaktické analýzy shora dolů. Dále ukázat převod na zadané gramatice.",,
Balík Miroslav,LS 2021,,Ne,AAG,"Konecny automat, deterministicky/nedeterministicky formalni definice, popsat algoritmus determinizace. Pak u zkousky ptal taky na slozitost determinizace.",,
Guth Ondřej,LS 2017,,Ano,AAG,"Implementace konečného automatu, lexikální analyzátor. ",,
Holub Jan,LS 2017,,Ano,AAG,"Implementace konečného automatu, lexikální analyzátor. ",,
Janoušek Jan,LS 2017,,Ne,AAG,Regulární jazyky: Deterministické a nedeterministické konečné automaty. Determinizace konečného automatu. Minimalizace deterministického konečného automatu.,,
Suchý Ondřej,LS 2017,,Ne,AAG,"Modely syntaktické analýzy bezkontextových jazyků. Popiště jednotlivé modely a jejich použití ukažte na větě ww^R, w je slovo nad {a,b} ",,
Tvrdík Pavel,LS 2017,,Ne,AAG,Bezkontextové jazyky: Modely syntaktické analýzy bezkontextových jazyků. ,,
Tvrdík Pavel,LS 2017,,Ne,AAG,AAG,,
Vagner Ladislav,LS 2017,,Ne,AAG,Modely syntaktické analýzy bezkontextových jazyků. ,,
Holeňa Martin,LS 2021,ZI,Ano,ADM,"Jádrová regrese, bázové funkce, SVM. Zaměřte se na SVM",,
Kašpar Jiří,LS 2015,IT,Ano,ADS,"Ethernet, VLAN, IP, DHCP, ARP ",,
Zahradnický Tomáš,LS 2015,IT,Ano,ADS,"Jmenné služby. DNS, jaké služby poskytuje, rekurzivní, iterativní dotaz ",,
Zahradnický Tomáš,ZS 2015,IT,Ano,ADS,"DNS, LDAP, DHCP a rozepsat DNS ",,
Muzikář,LS 2020,BIT,Ano,ADU,"Identita uživatelů v unixových systémech (identita, práva administrátora, sudo, su, PAM moduly, role, privilegia, identita a přístupová práva, ACL, suid programy).",,
Muzikář Zdeněk,LS 2019,BIT,Ano,ADU,"Jadro OS, Virtualizácia, Čo sú to Solaris zóny? Aké majú výhody oproti iným riešeniam? ",,
Muzikář Zdeněk,LS 2019,BIT,Ano,ADU,"Správa disků a souborových systémů (zařízení, souborové systémy UFS (EXT) a ZFS). Porovnejte ZFS a UFS (EXT).",,
Muzikář Zdeněk,LS 2015,IT,Ano,ADU,"Identita uživatele (vnější vnitřní), práva uživatelé vzhledem k souborům, procesům. Root jako role. ",,
Muzikář Zdeněk,LS 2015,IT,Ano,ADU,"Vysvětlit virtual manager, virtual disk. Popsat RAID-0, RAID-1, RAID-4, RAID-5. Jak je RAID řešen v ZFS? ",,
Muzikář Zdeněk,LS 2015,IT,Ano,ADU,"Jmenné služby: k čemu jsou, jaké znáte, jak jsou integrovány v systému, k čemu je nsswitch.conf… ",,
